Iteration,AverageDiscountedReturn,NumTrajs,StdReturn,LossAfter,ExplainedVariance,dLoss,MeanKL,AveragePolicyStd,Entropy,Perplexity,LossBefore,AverageReturn,MeanKLBefore,MaxReturn,MinReturn
0,-555.570603645,20,223.744244325,-0.00819193130481,3.54494211763e-13,0.00819193130481,0.00955036110364,1.0,1.4189385332,4.13273135412,-2.85327317329e-17,-1229.38056237,0.0,-886.683347164,-1633.98630152
1,-509.619364186,20,135.870060594,-0.00888642018066,0.921522669892,0.00888642018066,0.00674580845213,0.994376259914,1.41329892036,4.10948994714,-6.21169782278e-17,-1147.81771178,0.0,-913.246005343,-1474.05564864
2,-535.670999198,20,219.333751838,-0.0163025881186,0.901217881575,0.0163025881186,0.00891176913419,0.990673421634,1.40956818998,4.09418711128,-1.23741294988e-16,-1188.83036691,0.0,-857.528215431,-1609.89383068
3,-436.929633054,20,124.909423743,-0.00525944152166,0.866377675905,0.00525944152166,0.00958701939935,0.98022302919,1.3989633808,4.05099844677,2.18464135671e-16,-980.540123243,0.0,-758.083292139,-1308.73180889
4,-418.968411579,20,97.9710082686,-0.0104625088844,0.839086530375,0.0104625088844,0.00868916947201,0.988014127496,1.40688025095,4.08319696302,-1.67262037554e-17,-948.22973876,0.0,-736.318745039,-1133.09497731
5,-408.298210534,20,101.884015157,-0.00597583234726,0.846451435188,0.00597583234726,0.00984067548524,0.968817756721,1.38725977487,4.00386351963,-3.899658374e-18,-917.138145674,0.0,-634.99224739,-1047.48129148
6,-428.527118138,20,78.0358793737,-0.00942333179617,0.896685256255,0.00942333179617,0.00500084581841,0.988003350985,1.40686934365,4.08315242659,-1.32963084987e-16,-959.530181802,0.0,-825.936509243,-1147.83646491
7,-424.202577403,20,106.343036358,-0.0105153845039,0.870015942175,0.0105153845039,0.00648694520345,0.979346447109,1.39806871271,4.04737576852,2.93876034618e-16,-918.123745592,0.0,-739.01750564,-1086.71592574
8,-394.146541123,20,143.087391555,-0.0083094393095,0.83352349643,0.0083094393095,0.00778838943296,0.957019626766,1.3750071541,3.95510501805,3.00592883917e-17,-886.19372825,0.0,-624.470428957,-1174.49268918
9,-392.066735047,20,61.1786597849,-0.00716224312198,0.843052183544,0.00716224312198,0.00925599389238,0.970501336193,1.38899603364,4.0108213013,5.70828107005e-17,-849.843396448,0.0,-751.542805371,-977.567862361
10,-393.629362178,20,151.932806947,-0.0145672074361,0.735146972533,0.0145672074361,0.00777560225686,0.966824939816,1.38520069897,3.99562774273,1.44648616002e-16,-880.761436727,0.0,-514.573893562,-1142.17317893
11,-351.053850267,20,86.0314582218,-0.0150983933334,0.782640100672,0.0150983933334,0.00667528554831,0.953442462363,1.37126233383,3.94032155856,-5.73430192219e-17,-760.347211501,0.0,-617.249209077,-894.23886793
12,-325.892401708,20,113.856354067,-0.0143770558654,0.668276101739,0.0143770558654,0.00720699457816,0.932335859767,1.34887636855,3.85309364023,2.80990508639e-16,-672.797957916,0.0,-492.165278179,-879.529448261
13,-318.177599847,20,93.9007906322,-0.015752815896,0.804374953238,0.015752815896,0.00726053932124,0.91412335012,1.32914877294,3.77782623058,1.1914080833e-16,-643.095132883,0.0,-408.139482773,-755.412037797
14,-282.323565137,20,86.3446535989,-0.0113823635577,0.718369299622,0.0113823635577,0.00628000486209,0.903705804069,1.31768712367,3.73477331138,-3.5887959271e-17,-554.616060318,0.0,-378.537178922,-782.31040302
15,-274.581430859,20,126.931581353,-0.015271840328,0.649416773999,0.015271840328,0.00684715248575,0.887749782444,1.29987318098,3.66883136052,3.24990034883e-16,-537.511350244,0.0,-252.044514261,-762.178364629
16,-202.871522079,20,119.451455868,-0.0145748662653,0.402701904608,0.0145748662653,0.00988747536712,0.868937838369,1.27845484456,3.59108664941,3.90798504668e-17,-359.293367124,0.0,-134.907084318,-636.746089278
17,-185.429946528,20,125.553835475,-0.00998390118642,0.506710861536,0.00998390118642,0.00646173640106,0.852083297035,1.25886754275,3.52143135798,1.18349774425e-16,-277.577437211,0.0,-4.6490578876,-511.347326609
18,-171.787528012,20,204.581725187,-0.0106874911673,0.478202373602,0.0106874911673,0.00913493191727,0.841163335256,1.24596911086,3.47630208955,8.69599531272e-17,-256.941816235,0.0,-3.92716945114,-893.416861479
